user_name,user_id,product_id,product_name,category,price,purchase_date
Jamie,495,35808,Suéter de Tricô em Algodão da Malwee,Masculino,R$ 69.99,2024-10-18
Gabriela,456,35842,Parka com Capuz e Forro em Pelo Sintético,Unissex,R$ 249.99,2023-10-27
Gustavo,476,35836,Vestido Casual em Malha de Algodão,Feminino,R$ 79.99,2024-07-30
Henrique,477,35832,Saia Jeans Midi da Levi's,Feminino,R$ 99.99,2024-10-26
Matheus,481,35805,Bermuda de Praia Hering com Estampa Tropical,Masculino,R$ 49.99,2024-09-27
Morgan,497,35817,Uniforme Esportivo Adidas Condivo 20,Masculino,R$ 179.99,2024-08-01
Casey,492,35805,Bermuda de Praia Hering com Estampa Tropical,Masculino,R$ 49.99,2024-08-12
Yuri,489,35825,Macacão Jeans com Cintura Alta da Renner,Feminino,R$ 119.99,2023-12-31
Bruno,471,35849,Camisa de Manga Longa em Viscose da H&M,Unissex,R$ 79.99,2024-07-08
Jamie,495,35802,Terno Slim Fit em Lã Fria,Masculino,R$ 599.99,2024-10-11
Juliana,459,35801,Camiseta Nike Dri-FIT Essential,Masculino,R$ 89.99,2023-11-20
Paulo,484,35834,Jaqueta Jeans Oversized da C&A,Feminino,R$ 119.99,2023-12-28
Felipe,475,35834,Jaqueta Jeans Oversized da C&A,Feminino,R$ 119.99,2024-05-09
Casey,492,35801,Camiseta Nike Dri-FIT Essential,Masculino,R$ 89.99,2024-06-02
Fernanda,455,35831,Calça de Alfaiataria da Animale,Feminino,R$ 89.99,2024-02-22
Luana,461,35800,Camiseta Adidas Essentials Linear,Masculino,R$ 99.99,2024-03-27
Dani,494,35812,Casaco Trench Coat em Tecido Impermeável,Masculino,R$ 399.99,2024-05-09
Camila,452,35803,Blazer Masculino em Tecido de Algodão,Masculino,R$ 199.99,2023-12-15
Eloá,454,35840,Camiseta Tie-Dye da Vans,Unissex,R$ 89.99,2024-02-15
Helena,457,35833,Moletom Feminino com Capuz da Adidas,Feminino,R$ 179.99,2023-12-30
Camila,452,35810,Regata Champion em Algodão,Masculino,R$ 39.99,2024-05-24
Victor,488,35803,Blazer Masculino em Tecido de Algodão,Masculino,R$ 199.99,2023-12-14
Skyler,499,35800,Camiseta Adidas Essentials Linear,Masculino,R$ 99.99,2023-12-22
Jamie,495,35837,Cardigan Longo em Tricô da Zara,Feminino,R$ 99.99,2024-01-19
Yuri,489,35818,Camisa de Flanela Xadrez da H&M,Masculino,R$ 79.99,2024-01-24
Luana,461,35801,Camiseta Nike Dri-FIT Essential,Masculino,R$ 89.99,2024-06-19
Daniela,453,35838,Calça de Pijama em Modal da Hering,Feminino,R$ 59.99,2024-01-08
Carlos,472,35810,Regata Champion em Algodão,Masculino,R$ 39.99,2024-08-03
Natália,463,35807,Jaqueta de Couro Fake da Marisol,Masculino,R$ 149.99,2024-02-04
Carlos,472,35806,Moletom Nike Sportswear Fleece,Masculino,R$ 179.99,2024-06-16
André,470,35815,T-Shirt Estampada da Osklen,Masculino,R$ 119.99,2023-11-07
Natália,463,35837,Cardigan Longo em Tricô da Zara,Feminino,R$ 99.99,2024-03-28
Lucas,480,35826,Blazer Feminino em Tecido de Linho da Lança Perfume,Feminino,R$ 199.99,2024-10-04
Isabela,458,35825,Macacão Jeans com Cintura Alta da Renner,Feminino,R$ 119.99,2024-02-27
Igor,478,35822,Saia Midi Plissada em Tecido Metalizado,Feminino,R$ 69.99,2024-04-15
Dani,494,35815,T-Shirt Estampada da Osklen,Masculino,R$ 119.99,2023-12-10
Ariel,491,35836,Vestido Casual em Malha de Algodão,Feminino,R$ 79.99,2024-03-25
Nicolas,482,35834,Jaqueta Jeans Oversized da C&A,Feminino,R$ 119.99,2023-12-04
Taylor,498,35841,Hoodie Oversized em Moletom da Uniqlo,Unissex,R$ 179.99,2024-02-21
Olívia,464,35849,Camisa de Manga Longa em Viscose da H&M,Unissex,R$ 79.99,2024-06-15
Jamie,495,35803,Blazer Masculino em Tecido de Algodão,Masculino,R$ 199.99,2023-12-04
Lucas,480,35804,Calça Jeans Levi's 511 Slim Fit,Masculino,R$ 299.99,2024-03-01
Jordan,496,35829,Vestido de Festa em Tule com Bordado,Feminino,R$ 149.99,2024-01-23
Raquel,466,35816,Calça Jogger em Moletom da Puma,Masculino,R$ 99.99,2024-02-29
Natália,463,35813,Shorts de Ciclismo Soul Cycle,Masculino,R$ 59.99,2024-05-01
Beatriz,451,35816,Calça Jogger em Moletom da Puma,Masculino,R$ 99.99,2024-10-10
Nicolas,482,35806,Moletom Nike Sportswear Fleece,Masculino,R$ 179.99,2024-03-13
Juliana,459,35810,Regata Champion em Algodão,Masculino,R$ 39.99,2023-10-29
Bruno,471,35818,Camisa de Flanela Xadrez da H&M,Masculino,R$ 79.99,2024-09-03
Victor,488,35824,Calça Legging com Estampa de Onça da Gymshark,Feminino,R$ 99.99,2024-01-06
Yuri,489,35813,Shorts de Ciclismo Soul Cycle,Masculino,R$ 59.99,2024-06-30
Daniela,453,35808,Suéter de Tricô em Algodão da Malwee,Masculino,R$ 69.99,2024-03-06
Priscila,465,35827,Casaco de Lã Tricô da Marisa,Feminino,R$ 79.99,2023-11-20
Luana,461,35807,Jaqueta de Couro Fake da Marisol,Masculino,R$ 149.99,2023-12-24
Taylor,498,35817,Uniforme Esportivo Adidas Condivo 20,Masculino,R$ 179.99,2023-11-14
Jamie,495,35841,Hoodie Oversized em Moletom da Uniqlo,Unissex,R$ 179.99,2024-02-06
Luana,461,35829,Vestido de Festa em Tule com Bordado,Feminino,R$ 149.99,2024-09-29
Camila,452,35819,Biquíni Masculino Calvin Klein,Masculino,R$ 89.99,2024-07-27
Jordan,496,35839,Shorts de Cintura Alta em Linho,Feminino,R$ 69.99,2024-05-14
Matheus,481,35833,Moletom Feminino com Capuz da Adidas,Feminino,R$ 179.99,2023-12-23
Mariana,462,35830,Cropped de Manga Longa da Forever 21,Feminino,R$ 69.99,2024-01-13
Priscila,465,35839,Shorts de Cintura Alta em Linho,Feminino,R$ 69.99,2024-10-02
Gustavo,476,35816,Calça Jogger em Moletom da Puma,Masculino,R$ 99.99,2024-10-21
Vitória,469,35808,Suéter de Tricô em Algodão da Malwee,Masculino,R$ 69.99,2024-02-03
Alex,490,35845,Jaqueta Anorak com Estampa Camuflada,Unissex,R$ 149.99,2024-05-23
Vitória,469,35803,Blazer Masculino em Tecido de Algodão,Masculino,R$ 199.99,2024-01-31
Bruno,471,35831,Calça de Alfaiataria da Animale,Feminino,R$ 89.99,2024-05-18
Matheus,481,35842,Parka com Capuz e Forro em Pelo Sintético,Unissex,R$ 249.99,2024-06-15
Beatriz,451,35831,Calça de Alfaiataria da Animale,Feminino,R$ 89.99,2024-07-16
Helena,457,35814,Jaqueta de Frio Columbia Mountain,Masculino,R$ 249.99,2024-05-15
Luana,461,35810,Regata Champion em Algodão,Masculino,R$ 39.99,2024-03-11
Ana,450,35810,Regata Champion em Algodão,Masculino,R$ 39.99,2024-05-27
Sofia,467,35810,Regata Champion em Algodão,Masculino,R$ 39.99,2024-05-01
Ariel,491,35840,Camiseta Tie-Dye da Vans,Unissex,R$ 89.99,2023-11-18
Fernanda,455,35811,Camisa Polo Lacoste Classic Fit,Masculino,R$ 229.99,2023-11-03
Natália,463,35808,Suéter de Tricô em Algodão da Malwee,Masculino,R$ 69.99,2024-03-31
Samuel,486,35826,Blazer Feminino em Tecido de Linho da Lança Perfume,Feminino,R$ 199.99,2024-09-27
Luana,461,35822,Saia Midi Plissada em Tecido Metalizado,Feminino,R$ 69.99,2024-09-05
Luana,461,35820,Blusa de Alcinha em Crepe com Estampa Floral,Feminino,R$ 49.99,2024-01-02
Henrique,477,35846,Moletom Oversized da Champion,Unissex,R$ 119.99,2024-06-04
Beatriz,451,35818,Camisa de Flanela Xadrez da H&M,Masculino,R$ 79.99,2023-12-29
Jordan,496,35843,Calça Cargo em Sarja da Nike,Unissex,R$ 99.99,2023-12-12
Eloá,454,35825,Macacão Jeans com Cintura Alta da Renner,Feminino,R$ 119.99,2024-09-15
Igor,478,35842,Parka com Capuz e Forro em Pelo Sintético,Unissex,R$ 249.99,2024-07-16
João,479,35828,Túnica em Viscose com Detalhes de Renda,Feminino,R$ 59.99,2024-10-23
Jamie,495,35833,Moletom Feminino com Capuz da Adidas,Feminino,R$ 179.99,2024-02-21
Taylor,498,35836,Vestido Casual em Malha de Algodão,Feminino,R$ 79.99,2024-05-15
Priscila,465,35811,Camisa Polo Lacoste Classic Fit,Masculino,R$ 229.99,2024-08-19
Jordan,496,35831,Calça de Alfaiataria da Animale,Feminino,R$ 89.99,2024-09-04
Matheus,481,35809,Calça de Sarja Azul Marinho da TNG,Masculino,R$ 89.99,2024-02-14
Beatriz,451,35817,Uniforme Esportivo Adidas Condivo 20,Masculino,R$ 179.99,2024-08-05
Igor,478,35804,Calça Jeans Levi's 511 Slim Fit,Masculino,R$ 299.99,2023-12-14
Beatriz,451,35829,Vestido de Festa em Tule com Bordado,Feminino,R$ 149.99,2024-04-09
Daniela,453,35809,Calça de Sarja Azul Marinho da TNG,Masculino,R$ 89.99,2023-11-11
Ricardo,485,35805,Bermuda de Praia Hering com Estampa Tropical,Masculino,R$ 49.99,2024-09-06
Vitória,469,35831,Calça de Alfaiataria da Animale,Feminino,R$ 89.99,2023-10-30
Jamie,495,35832,Saia Jeans Midi da Levi's,Feminino,R$ 99.99,2024-10-02
Ana,450,35830,Cropped de Manga Longa da Forever 21,Feminino,R$ 69.99,2024-01-27
Sofia,467,35816,Calça Jogger em Moletom da Puma,Masculino,R$ 99.99,2024-03-10
Camila,452,35833,Moletom Feminino com Capuz da Adidas,Feminino,R$ 179.99,2023-12-22
Camila,452,35836,Vestido Casual em Malha de Algodão,Feminino,R$ 79.99,2024-01-13
Isabela,458,35839,Shorts de Cintura Alta em Linho,Feminino,R$ 69.99,2024-06-18
Paulo,484,35823,Camiseta de Algodão Básica da Zara,Feminino,R$ 39.99,2024-09-29
Raquel,466,35818,Camisa de Flanela Xadrez da H&M,Masculino,R$ 79.99,2024-07-12
Casey,492,35803,Blazer Masculino em Tecido de Algodão,Masculino,R$ 199.99,2024-09-20
Luana,461,35818,Camisa de Flanela Xadrez da H&M,Masculino,R$ 79.99,2024-03-12
Lucas,480,35824,Calça Legging com Estampa de Onça da Gymshark,Feminino,R$ 99.99,2024-02-22
Tiago,487,35803,Blazer Masculino em Tecido de Algodão,Masculino,R$ 199.99,2024-07-25
Gustavo,476,35826,Blazer Feminino em Tecido de Linho da Lança Perfume,Feminino,R$ 199.99,2023-12-24
Isabela,458,35845,Jaqueta Anorak com Estampa Camuflada,Unissex,R$ 149.99,2024-05-10
Dani,494,35831,Calça de Alfaiataria da Animale,Feminino,R$ 89.99,2024-02-09
Ariel,491,35835,Regata Estampada da Calvin Klein,Feminino,R$ 49.99,2024-05-17
Eduardo,474,35848,Calça de Treino em Malha da Adidas,Unissex,R$ 89.99,2024-10-13
Mariana,462,35820,Blusa de Alcinha em Crepe com Estampa Floral,Feminino,R$ 49.99,2024-01-28
Ariel,491,35844,Regata Unissex em Algodão Orgânico,Unissex,R$ 39.99,2024-10-14
Matheus,481,35846,Moletom Oversized da Champion,Unissex,R$ 119.99,2024-02-10
Camila,452,35839,Shorts de Cintura Alta em Linho,Feminino,R$ 69.99,2024-10-04
Felipe,475,35808,Suéter de Tricô em Algodão da Malwee,Masculino,R$ 69.99,2023-12-31
Gustavo,476,35805,Bermuda de Praia Hering com Estampa Tropical,Masculino,R$ 49.99,2024-01-31
Daniel,473,35801,Camiseta Nike Dri-FIT Essential,Masculino,R$ 89.99,2024-05-23
Daniela,453,35800,Camiseta Adidas Essentials Linear,Masculino,R$ 99.99,2024-07-24
Nicolas,482,35818,Camisa de Flanela Xadrez da H&M,Masculino,R$ 79.99,2024-03-05
Victor,488,35818,Camisa de Flanela Xadrez da H&M,Masculino,R$ 79.99,2024-10-18
Alex,490,35830,Cropped de Manga Longa da Forever 21,Feminino,R$ 69.99,2024-06-05
Tiago,487,35824,Calça Legging com Estampa de Onça da Gymshark,Feminino,R$ 99.99,2024-06-20
Nicolas,482,35815,T-Shirt Estampada da Osklen,Masculino,R$ 119.99,2024-07-09
Casey,492,35831,Calça de Alfaiataria da Animale,Feminino,R$ 89.99,2024-08-17
Jamie,495,35835,Regata Estampada da Calvin Klein,Feminino,R$ 49.99,2024-05-30
Eduardo,474,35822,Saia Midi Plissada em Tecido Metalizado,Feminino,R$ 69.99,2024-01-12
Tiago,487,35813,Shorts de Ciclismo Soul Cycle,Masculino,R$ 59.99,2024-02-18
Jordan,496,35838,Calça de Pijama em Modal da Hering,Feminino,R$ 59.99,2024-05-28
Camila,452,35834,Jaqueta Jeans Oversized da C&A,Feminino,R$ 119.99,2024-05-25
Daniela,453,35806,Moletom Nike Sportswear Fleece,Masculino,R$ 179.99,2024-02-02
João,479,35824,Calça Legging com Estampa de Onça da Gymshark,Feminino,R$ 99.99,2024-05-20
Otávio,483,35807,Jaqueta de Couro Fake da Marisol,Masculino,R$ 149.99,2024-03-29
Gabriela,456,35800,Camiseta Adidas Essentials Linear,Masculino,R$ 99.99,2024-01-13
Olívia,464,35806,Moletom Nike Sportswear Fleece,Masculino,R$ 179.99,2024-10-13
Jordan,496,35837,Cardigan Longo em Tricô da Zara,Feminino,R$ 99.99,2023-11-07
Tiago,487,35822,Saia Midi Plissada em Tecido Metalizado,Feminino,R$ 69.99,2024-02-01
Nicolas,482,35825,Macacão Jeans com Cintura Alta da Renner,Feminino,R$ 119.99,2024-02-29
Eloá,454,35822,Saia Midi Plissada em Tecido Metalizado,Feminino,R$ 69.99,2024-02-07
Mariana,462,35815,T-Shirt Estampada da Osklen,Masculino,R$ 119.99,2024-06-22
Bruno,471,35840,Camiseta Tie-Dye da Vans,Unissex,R$ 89.99,2024-07-28
André,470,35831,Calça de Alfaiataria da Animale,Feminino,R$ 89.99,2024-09-23
Dani,494,35804,Calça Jeans Levi's 511 Slim Fit,Masculino,R$ 299.99,2024-07-20
Isabela,458,35801,Camiseta Nike Dri-FIT Essential,Masculino,R$ 89.99,2023-11-17
Yuri,489,35845,Jaqueta Anorak com Estampa Camuflada,Unissex,R$ 149.99,2024-07-10
Ariel,491,35803,Blazer Masculino em Tecido de Algodão,Masculino,R$ 199.99,2024-04-02
Mariana,462,35815,T-Shirt Estampada da Osklen,Masculino,R$ 119.99,2024-07-09
Juliana,459,35806,Moletom Nike Sportswear Fleece,Masculino,R$ 179.99,2024-08-22
Casey,492,35821,Vestido Longo em Viscose com Decote V,Feminino,R$ 89.99,2024-08-26
Juliana,459,35817,Uniforme Esportivo Adidas Condivo 20,Masculino,R$ 179.99,2023-11-02
João,479,35812,Casaco Trench Coat em Tecido Impermeável,Masculino,R$ 399.99,2024-04-21
Olívia,464,35836,Vestido Casual em Malha de Algodão,Feminino,R$ 79.99,2024-04-04
Olívia,464,35843,Calça Cargo em Sarja da Nike,Unissex,R$ 99.99,2024-06-25
Eduardo,474,35815,T-Shirt Estampada da Osklen,Masculino,R$ 119.99,2024-05-25
Isabela,458,35835,Regata Estampada da Calvin Klein,Feminino,R$ 49.99,2023-12-13
Jamie,495,35823,Camiseta de Algodão Básica da Zara,Feminino,R$ 39.99,2024-06-23
Chris,493,35807,Jaqueta de Couro Fake da Marisol,Masculino,R$ 149.99,2024-01-21
Skyler,499,35809,Calça de Sarja Azul Marinho da TNG,Masculino,R$ 89.99,2024-03-03
Carlos,472,35842,Parka com Capuz e Forro em Pelo Sintético,Unissex,R$ 249.99,2024-08-15
Sofia,467,35849,Camisa de Manga Longa em Viscose da H&M,Unissex,R$ 79.99,2024-08-24
Daniela,453,35849,Camisa de Manga Longa em Viscose da H&M,Unissex,R$ 79.99,2023-12-17
Raquel,466,35801,Camiseta Nike Dri-FIT Essential,Masculino,R$ 89.99,2024-09-11
Jamie,495,35831,Calça de Alfaiataria da Animale,Feminino,R$ 89.99,2023-11-14
Taylor,498,35829,Vestido de Festa em Tule com Bordado,Feminino,R$ 149.99,2023-11-05
Gustavo,476,35817,Uniforme Esportivo Adidas Condivo 20,Masculino,R$ 179.99,2024-07-31
Vitória,469,35801,Camiseta Nike Dri-FIT Essential,Masculino,R$ 89.99,2024-06-15
Dani,494,35837,Cardigan Longo em Tricô da Zara,Feminino,R$ 99.99,2024-03-04
Ana,450,35819,Biquíni Masculino Calvin Klein,Masculino,R$ 89.99,2024-06-15
Raquel,466,35819,Biquíni Masculino Calvin Klein,Masculino,R$ 89.99,2024-07-17
Samuel,486,35825,Macacão Jeans com Cintura Alta da Renner,Feminino,R$ 119.99,2024-03-04
Priscila,465,35836,Vestido Casual em Malha de Algodão,Feminino,R$ 79.99,2024-03-20
Ariel,491,35840,Camiseta Tie-Dye da Vans,Unissex,R$ 89.99,2024-06-02
Igor,478,35824,Calça Legging com Estampa de Onça da Gymshark,Feminino,R$ 99.99,2024-01-20
Priscila,465,35811,Camisa Polo Lacoste Classic Fit,Masculino,R$ 229.99,2024-04-26
João,479,35822,Saia Midi Plissada em Tecido Metalizado,Feminino,R$ 69.99,2024-07-19
Yuri,489,35828,Túnica em Viscose com Detalhes de Renda,Feminino,R$ 59.99,2023-12-26
Daniel,473,35817,Uniforme Esportivo Adidas Condivo 20,Masculino,R$ 179.99,2024-02-21
Yuri,489,35846,Moletom Oversized da Champion,Unissex,R$ 119.99,2023-11-15
Olívia,464,35806,Moletom Nike Sportswear Fleece,Masculino,R$ 179.99,2024-04-11
Taylor,498,35817,Uniforme Esportivo Adidas Condivo 20,Masculino,R$ 179.99,2024-10-03
Ricardo,485,35817,Uniforme Esportivo Adidas Condivo 20,Masculino,R$ 179.99,2024-01-22
Helena,457,35804,Calça Jeans Levi's 511 Slim Fit,Masculino,R$ 299.99,2024-05-19
Casey,492,35803,Blazer Masculino em Tecido de Algodão,Masculino,R$ 199.99,2024-09-13
Juliana,459,35848,Calça de Treino em Malha da Adidas,Unissex,R$ 89.99,2024-10-08
Raquel,466,35832,Saia Jeans Midi da Levi's,Feminino,R$ 99.99,2024-01-26
Casey,492,35808,Suéter de Tricô em Algodão da Malwee,Masculino,R$ 69.99,2024-05-18
Fernanda,455,35825,Macacão Jeans com Cintura Alta da Renner,Feminino,R$ 119.99,2024-07-15
Raquel,466,35828,Túnica em Viscose com Detalhes de Renda,Feminino,R$ 59.99,2024-06-04
Priscila,465,35808,Suéter de Tricô em Algodão da Malwee,Masculino,R$ 69.99,2023-11-02
Helena,457,35803,Blazer Masculino em Tecido de Algodão,Masculino,R$ 199.99,2024-01-31
Gabriela,456,35841,Hoodie Oversized em Moletom da Uniqlo,Unissex,R$ 179.99,2024-05-23
Dani,494,35848,Calça de Treino em Malha da Adidas,Unissex,R$ 89.99,2024-04-16
Felipe,475,35817,Uniforme Esportivo Adidas Condivo 20,Masculino,R$ 179.99,2024-07-18
Raquel,466,35837,Cardigan Longo em Tricô da Zara,Feminino,R$ 99.99,2024-08-17
Vitória,469,35802,Terno Slim Fit em Lã Fria,Masculino,R$ 599.99,2024-07-08
Beatriz,451,35840,Camiseta Tie-Dye da Vans,Unissex,R$ 89.99,2024-09-24
Otávio,483,35803,Blazer Masculino em Tecido de Algodão,Masculino,R$ 199.99,2024-07-15
Alex,490,35848,Calça de Treino em Malha da Adidas,Unissex,R$ 89.99,2024-07-25
Gustavo,476,35809,Calça de Sarja Azul Marinho da TNG,Masculino,R$ 89.99,2024-01-25
Gabriela,456,35833,Moletom Feminino com Capuz da Adidas,Feminino,R$ 179.99,2024-05-09
Ana,450,35818,Camisa de Flanela Xadrez da H&M,Masculino,R$ 79.99,2024-03-17
Chris,493,35824,Calça Legging com Estampa de Onça da Gymshark,Feminino,R$ 99.99,2024-03-15
Igor,478,35802,Terno Slim Fit em Lã Fria,Masculino,R$ 599.99,2024-01-13
Carlos,472,35813,Shorts de Ciclismo Soul Cycle,Masculino,R$ 59.99,2024-07-29
Henrique,477,35831,Calça de Alfaiataria da Animale,Feminino,R$ 89.99,2024-03-31
Alex,490,35810,Regata Champion em Algodão,Masculino,R$ 39.99,2024-07-30
Mariana,462,35829,Vestido de Festa em Tule com Bordado,Feminino,R$ 149.99,2024-07-17
Lucas,480,35814,Jaqueta de Frio Columbia Mountain,Masculino,R$ 249.99,2024-07-31
Morgan,497,35825,Macacão Jeans com Cintura Alta da Renner,Feminino,R$ 119.99,2024-02-01
Tiago,487,35805,Bermuda de Praia Hering com Estampa Tropical,Masculino,R$ 49.99,2024-02-05
Camila,452,35826,Blazer Feminino em Tecido de Linho da Lança Perfume,Feminino,R$ 199.99,2024-05-31
Gabriela,456,35824,Calça Legging com Estampa de Onça da Gymshark,Feminino,R$ 99.99,2024-01-31
Matheus,481,35812,Casaco Trench Coat em Tecido Impermeável,Masculino,R$ 399.99,2023-11-17
Morgan,497,35833,Moletom Feminino com Capuz da Adidas,Feminino,R$ 179.99,2024-03-27
Bruno,471,35802,Terno Slim Fit em Lã Fria,Masculino,R$ 599.99,2024-02-22
Ariel,491,35818,Camisa de Flanela Xadrez da H&M,Masculino,R$ 79.99,2024-08-21
Olívia,464,35818,Camisa de Flanela Xadrez da H&M,Masculino,R$ 79.99,2024-07-14
Yuri,489,35822,Saia Midi Plissada em Tecido Metalizado,Feminino,R$ 69.99,2024-08-08
Olívia,464,35828,Túnica em Viscose com Detalhes de Renda,Feminino,R$ 59.99,2024-07-20
Sofia,467,35816,Calça Jogger em Moletom da Puma,Masculino,R$ 99.99,2023-11-28
Yuri,489,35811,Camisa Polo Lacoste Classic Fit,Masculino,R$ 229.99,2024-06-25
Matheus,481,35848,Calça de Treino em Malha da Adidas,Unissex,R$ 89.99,2024-07-19
Vitória,469,35830,Cropped de Manga Longa da Forever 21,Feminino,R$ 69.99,2024-07-06
Igor,478,35822,Saia Midi Plissada em Tecido Metalizado,Feminino,R$ 69.99,2024-02-26
Jordan,496,35803,Blazer Masculino em Tecido de Algodão,Masculino,R$ 199.99,2024-09-18
Nicolas,482,35822,Saia Midi Plissada em Tecido Metalizado,Feminino,R$ 69.99,2024-06-08
Otávio,483,35847,Sunga de Praia com Estampa Floral da Rip Curl,Unissex,R$ 59.99,2024-09-13
Tatiane,468,35846,Moletom Oversized da Champion,Unissex,R$ 119.99,2024-03-23
Karine,460,35847,Sunga de Praia com Estampa Floral da Rip Curl,Unissex,R$ 59.99,2024-06-01
Matheus,481,35800,Camiseta Adidas Essentials Linear,Masculino,R$ 99.99,2024-08-24
Lucas,480,35810,Regata Champion em Algodão,Masculino,R$ 39.99,2024-06-18
Victor,488,35803,Blazer Masculino em Tecido de Algodão,Masculino,R$ 199.99,2024-08-22
Vitória,469,35813,Shorts de Ciclismo Soul Cycle,Masculino,R$ 59.99,2024-05-03
Luana,461,35838,Calça de Pijama em Modal da Hering,Feminino,R$ 59.99,2024-07-01
Isabela,458,35813,Shorts de Ciclismo Soul Cycle,Masculino,R$ 59.99,2024-07-03
Juliana,459,35845,Jaqueta Anorak com Estampa Camuflada,Unissex,R$ 149.99,2024-08-13
Daniel,473,35822,Saia Midi Plissada em Tecido Metalizado,Feminino,R$ 69.99,2024-04-30
Mariana,462,35837,Cardigan Longo em Tricô da Zara,Feminino,R$ 99.99,2024-01-13
Raquel,466,35821,Vestido Longo em Viscose com Decote V,Feminino,R$ 89.99,2024-05-12
Karine,460,35840,Camiseta Tie-Dye da Vans,Unissex,R$ 89.99,2024-04-23
Gustavo,476,35841,Hoodie Oversized em Moletom da Uniqlo,Unissex,R$ 179.99,2023-12-15
Daniela,453,35828,Túnica em Viscose com Detalhes de Renda,Feminino,R$ 59.99,2024-10-12
Lucas,480,35800,Camiseta Adidas Essentials Linear,Masculino,R$ 99.99,2024-09-30
Yuri,489,35841,Hoodie Oversized em Moletom da Uniqlo,Unissex,R$ 179.99,2024-07-01
Priscila,465,35821,Vestido Longo em Viscose com Decote V,Feminino,R$ 89.99,2023-12-07
Felipe,475,35825,Macacão Jeans com Cintura Alta da Renner,Feminino,R$ 119.99,2024-10-14
Skyler,499,35800,Camiseta Adidas Essentials Linear,Masculino,R$ 99.99,2023-12-25
